id,location,link_dom_ria_com,rooms,area_general_living_kitch,floor,price_usd,post_date,scrape_date1,views1,scrape_date2,views2,scrape_date_cal1,scrape_date_cal2,views_0,views_decision_%,views_decision1_%
32539624,вул. Полтавський Шлях 155,-harkov-holodnaya-gora-poltavskiy-shlyah-ulitsa-32539624.html,1,33 м²\ 17 м²\ 7 м²,9th of 9,15 000,2025-01-22,2025-01-24,29.0,,,2.0,,16.78,-84.06,
32564066,вул. Лисаветинська 7А,-harkov-levada-elizavetinskaya-ulitsa-32564066.html,2,68.9 м²\ 30.7 м²\ 15.2 м²,9th of 16,62 000,2025-01-16,2025-01-24,78.0,2025-01-29,111.0,8.0,13.0,16.74,-84.1,15.94
31767808,просп. Аерокосмічний,-harkov-levada-gagarina-prospekt-31767808.html,4, м²,7th of 9,29 500,2024-12-29,2025-01-24,109.0,2025-01-29,146.0,26.0,31.0,16.69,-84.15,32.5
32542468,"вул. Миру 43, кв.",-harkov-htz-mira-ulitsa-32542468.html,1,38.34 м²\ 19 м²\ 8.5 м²,2th of 9,17 000,2024-12-09,2025-01-24,111.0,2025-01-29,129.0,46.0,51.0,16.67,-84.16,16.15
32535099,вул. Соборності України,-harkov-saltovka-drujby-narodov-ulitsa-32535099.html,1,38 м²\ 9 м²,6th of 16,31 493,2024-12-06,2025-01-24,111.0,2025-01-29,116.0,49.0,54.0,16.66,-84.17,4.47
30247499,вул. Академіка Барабашова,-harkov-evenkovkiy-peelok-30247499.html,1,40.51 м²\ 20 м²\ 11.18 м²,5th of 5,18 500,2024-09-10,2025-01-24,111.0,2025-01-29,124.0,136.0,141.0,16.65,-84.18,11.71
32639893,вул. Яни Червоної 3,-harkov-rodniki-rodnikovaya-ulitsa-32639893.html,1,33 м²\ 19 м²\ 7 м²,3th of 9,20 000,2025-01-20,2025-01-24,50.0,2025-01-29,66.0,4.0,9.0,16.62,-84.21,-19.6
30795688,вул. Добролюбова,-harkov-rubanovka-dobrolyubova-ulitsa-30795688.html,2,46 м²\ 7 м²,10th of 10,25 000,2025-01-14,2025-01-24,86.0,2025-01-29,99.0,10.0,15.0,16.61,-84.22,-0.03
32639208,вул. Борткевича 11,-harkov-kievskiy-bortkevicha-ulitsa-32639208.html,1,39.9 м²\ 15.5 м²\ 12.4 м²,3th of 9,21 000,2025-01-12,2025-01-24,92.0,2025-01-29,101.0,12.0,17.0,16.53,-84.3,-0.6
32243085,просп. Героїв Харкова 124/7,-harkov-slobodskoy-geroev-harkova-moskovskiy-prospekt-32243085.html,3,112.7 м²\ 70 м²\ 14 м²,6th of 9,87 000,2025-01-10,2025-01-24,96.0,2025-01-29,17.0,14.0,19.0,16.41,-84.41,-83.51
32535096,просп. Ювілейний,-harkov-saltovka-50-letiya-vlksm-prospekt-32535096.html,1,35 м²\ 7 м²,5th of 5,17 846,2024-12-06,2025-01-24,109.0,2025-01-29,117.0,49.0,54.0,16.36,-84.46,7.3
28770707,вул. Енвера Ахсарова,-harkov-alekseevka-28770707.html,4,86 м²\ 6 м²,8th of 9,50 000,2025-01-11,2025-01-24,93.0,2025-01-29,102.0,13.0,18.0,16.26,-84.55,0.85
31403229,просп. Героїв Харкова 118,-harkov-tsentr-geroev-harkova-moskovskiy-prospekt-31403229.html,1,31 м²\ 26.5 м²\ 3 м²,2th of 6,18 000,2025-01-22,2025-01-24,28.0,2025-01-29,79.0,2.0,7.0,16.2,-84.61,12.49
26832709,пров. Ботанічний 2,-harkov-pavlovka-botanicheskiy-pereulok-26832709.html,3,115.3 м²\ 60 м²\ 12.6 м²,5th of 15,190 000,2025-01-22,2025-01-24,28.0,2025-01-29,59.0,2.0,7.0,16.2,-84.61,-15.99
